Brand;Vehicle;Motorisation;Fuel;Start;End;Battery_AGM;Battery_EFB;Battery_Conventional
RENAULT;Chassis (ED/HD/UD);3.0 d  Ci 140;Diesel;1998-07-01;2001-01-01;;FL1000;
RENAULT;MASTER III Box (FV);2.3 dCi 100 / 125 / 145 FWD, 125 /;Diesel;2010-02-01;;;FL1000;
RENAULT;MEGANE CC (EZ0/1_)1.5 dCi;2.3 dCi 100 / 125 / 130 / 145 FWD,;Diesel;2010-06-01;;F43;F31;
RENAULT;MEGANE I (BA;1.9 D Eco, 1.9 dCi, 1.9 dTi;Diesel;1996-01-01;2003-08-01;;F32;
MEGANE II;(BM0/1_, CM0/1_);1.9 dCi;Diesel;2002-11-01;2009-12-01;;FL652;
MEGANE II;(BM0/1_, CM0/1_);1.4 16V, 1.6 16V;Petrol;2002-11-01;2008-02-01;;F31;
MEGANE II;Cabriolet (EM0/1_);1.9 dCi;Diesel;2003-09-01;2009-03-01;;FL652;
MEGANE II;(KM0/1_);1.9 dCi;Diesel;2003-08-01;2009-07-01;;FL652;
MEGANE II;Van (KM0/2_);1.5 dCi;Diesel;2003-08-01;2008-02-01;;F30;
MEGANE II;1.5 dCi (DZ0A, DZ0B, DZ0C, DZ1A);MEGANE III Coupe;Diesel;2008-11-01;;F41;F31;
MEGANE III;(B9A/M/N_);1.9 D, 1.9 dTi;Diesel;1997-03-01;1999-09-01;F41;F32;
MEGANE III;(JA0/1_);1.4 i, 1.6 i / e;Petrol;1996-10-01;1999-09-01;;F30;
MEGANE III;(JA0/1_);1.9 dT;Diesel;1997-03-01;1999-08-01;;F31;
MEGANE III;(JA0/1_, FA0_);1.6 (JA00, JA16, JA15, JA19,;Petrol;1999-09-01;2003-09-01;;F30;
MEGANE III;SCÉNIC II (JM0/1_)1.5 dCi (JM02, JM13), 1.9 dCi, 2.0 dCi;1.4 16V, 1.6;Diesel;2003-06-01;2003-08-01;;FL652;
MEGANE III;TRAFIC II Box (FL)2.5 dCi 145 (;FL0J);Diesel;2006-08-01;2001-03-01;F41;FL800;
MEGANE III;Chassis (EL);2.0 dCi 90 / 115;Diesel;2006-08-01;;F41;FL652;
MEGANE III;TWINGO II (CN0_)1.5 dCi / 75 / 90;1.0 SCe 70;Petrol;2014-09-01;2004-08-01;;F31;
MEGANE III;ZOE (BFM_)ZOE;lectric;Diesel;2002-06-01;;;F30;
SEAT;IZA II (6K1);1.0 / i, 1.4i;Diesel;1993-04-01;2002-02-01;F41;F30;
GRAND VITARA II;Road Vehicle (SN);1.5 DDiS 4WD /  4x4;Diesel;2003-12-01;2008-08-01;F40;FL604;
GRAND VITARA II;SX4 (EY, GY) | SX4 /;1.6 DDIS, 1.9 DDiS / 4x4, 2.0 DDiS / 4x4;Diesel;2006-06-01;;;F32;
GRAND VITARA II;VITARA (LY)1.6 DDiS / AllGrip;1.9 D All-wheel Drive, 2.0 TD;Diesel;2015-02-01;1998-03-01;;F32;
COROLLA;URIS (_E15_) |;1.4 D-4D;Diesel;;;;F31;
COROLLA;AURIS (_E15_);2.0 D-4D;Diesel;2007-03-01;2012-09-01;;F32;
COROLLA;AVENSIS (_T25_)2.0 D-4D (ADT250_);1.8 Hybrid;Diesel;2003-04-01;2008-11-01;;F32;
COROLLA;COROLLA (_E12_) |;1.4 D, 2.0 D-4D;Diesel;2002-01-01;2007-02-01;;F32;
HILUX VIGO;(_N1_, _N2_, _N3_) |;2.5 D 4WD / D-4D 4WD, 3.0 D-4D 4WD;Diesel;2005-03-01;2015-05-01;;FL955;
COLORADO;(_J9_) | LAND CRUISER;3.0 D-4D 4WD / TD;Diesel;1996-04-01;2002-12-01;;FL954;
LAND CRUISER;PRADO (_J15_);2.8 D-4D, 3.0 D-4D;Diesel;2009-08-01;;;FL954;
LAND CRUISER;VERSO (_R2_)2.0 D-4D;2015-10;Diesel;2009-04-01;2013-06-01;;FL800;
LAND CRUISER;YARIS (_P13_) |;1.0, 1.3, 1.5;Petrol;2010-12-01;2005-09-01;;F31;
LAND CRUISER;YARIS (_P13_) |;1.4 D;Diesel;2011-09-01;;;F31;
LAND CRUISER;YARIS (_P9_) |;1.4 D-4D;Diesel;2005-08-01;2012-12-01;;F31;
LAND CRUISER;YARIS (_P9_) |;1.0 VVT-i, 1.3 VVT-i;Petrol;2005-08-01;2011-12-01;;F30;
VOLVO;XC90 I (275)D5 AWD;D2, D3, D4;Diesel;2002-10-01;2014-12-01;;FL1000;
VOLKSWAGEN;CADDY III  Box   (2KA,;1.9 TDI, 2.0 SDI, TDI 16V, TDI 4motion;Diesel;2004-04-01;2015-05-01;F41;;
VOLKSWAGEN;(5Z1, 5Z3, 5Z4);1.2, 1.4;Petrol;2005-04-01;2011-07-01;F41;F30;
VOLKSWAGEN;GOLF VI (5K1)1.4, 1.4 TSI;1.0 TSI, 1.2 TSI, 1.4, TSI, 1.5 TSI;Petrol;2015-05-01;2012-11-01;F40;F31;
VOLKSWAGEN;(BA5, BV5);1.6 TDI;Diesel;2013-05-01;;;F32;
VOLKSWAGEN;SCIROCCO (137, 138)2.0 TDI;1.9 TDI, 2.0 TDI;Diesel;1995-09-01;2010-03-01;F41;FL800;
TIGUAN;ALLSPACE (BW2);2.5 R5 TDI, 3.0 V6 TDI, 5.0 V10 TDI;Diesel;2002-10-01;2010-05-01;F41;FL1000;
TIGUAN;(70A, 70H, 7DA, 7DH);1.9 D, 2.4 D / TD;Diesel;1990-07-01;2016-05-01;F41;F32;
FRANCE;ROC (A11);1.0 TSI, 1.5 TSI;Petrol;2017-07-01;;;FL652;
