Brand;Vehicle;Motorisation;Fuel;Start;End;Battery_AGM;Battery_EFB;Battery_Conventional
KIA;SPORTAGE (QL, QLE);1.7 CRDi, 2.0 CRDi;Diesel;2015-09-01;;;F42;
KIA;SPORTAGE (SL);1.7 CRDi, 2.0 CRDi;Diesel;2015-09-01;;;F42;
KIA;VENGA (YN);1.7 CRDi;Diesel;2010-12-01;;;F42;
KIA;VENGA (YN);1.4 CRDi 90, 1.6 CRDi 115;Diesel;2010-02-01;;;F32;F7
LANCIA;YPSILON (312_);0.9 TwinAir, 1.2;Petrole;2011-05-01;;;F31;
LAND ROVER;FREELANDER (L314);2.0 DI 4x4, 2.0 Td4 4x4;Diesel;1998-02-01;2006-10-01;F41;F32;F7
LAND ROVER;RANGE ROVER EVOQUE (L538);2.0 D / 4x4;Diesel;2015-06-01;;;F42;FL752
MERCEDES-BENZ;A-CLASS (W168);A 160 CDI, A 170 CDI;Diesel;1998-07-01;2004-08-01;F41;F32;F7
MERCEDES-BENZ;A-CLASS (W168);A 140, A 160, A 190;Petrole;1997-07-01;2004-08-01;F40;F31;F4
MERCEDES-BENZ;A-CLASS (W169);A 160 CDI, A 180 CDI, A 200 CDI;Diesel;2004-09-01;2012-06-01;F41;F32;F7
MERCEDES-BENZ;A-CLASS (W169);A 150, A170, A200;Petrole;2004-09-01;2012-06-01;;F31;F4
MERCEDES-BENZ;A-CLASS (W176);A 180 CDI, A200 CDI / D, A220 D;Diesel;2012-06-01;;;F42;
MERCEDES-BENZ;A-CLASS (W176);A 160, A 180, A 200, A 250;Petrole;2012-09-01;;F41;;
MERCEDES-BENZ;B-CLASS (W245);B 180 CDI, B 200 CDI;Diesel;2005-03-01;2011-11-01;F41;F32;F7
MERCEDES-BENZ;B-CLASS (W246, W242);B 160 CDI / d, B 180 CDI, B 200 CDI / d / d 4-matic, B 220 CDI / d;Diesel;2011-11-01;;F41;;
MERCEDES-BENZ;CABRIOLET (A124);300 CE-24 (124.061);Petrole;1992-04-01;1993-06-01;F41;F32;F7
MERCEDES-BENZ;C-CLASS (W202);C 200 CDI, C 220 CDI, C 220 D, C 250 D, C 250 Turbo-D;Diesel;1993-05-01;2000-05-01;F41;F32;F7
MERCEDES-BENZ;C-CLASS (W203);C 200 CDI, C 220 CDI, C 320 CDI;Diesel;2000-09-01;2003-06-01;F41;F32;F7
MERCEDES-BENZ;C-CLASS (W204);C 200 CDI, C 220;Diesel;2007-01-01;2009-12-01;F41;F32;F7
MERCEDES-BENZ;C- CLASS (W204);C 180 CDI, C 200 CDI, C 250 CDI, C 320 CDI;Diesel;2011-01-01;2014-01-01;F42;FL752;F12
MERCEDES-BENZ;C-CLASS (W205);C 200 d, C 220 BlueTEC / d , C 250 BlueTEC / d / d 4-matic;Diesel;2014-02-01;2018-05-01;;F42;
MERCEDES-BENZ;C-CLASS Coupe (CL203);C 200 CDI, C220 CDI;Diesel;2001-03-01;2008-05-01;F41;F32;F7
MERCEDES-BENZ;CLK (C209);220 CDI, 270 CDI, 320 CDI;Diesel;2002-10-01;2009-05-01;;F42;F12
MERCEDES-BENZ;E-CLASS (W210);E 200 CDI, E 220 CDI , E 290 Turbo-D, E 300 Turbo-D, E320 CDI;Diesel;1996-03-01;2002-03-01;F41;F32;F7
MERCEDES-BENZ;E-CLASS (W211);E 220 CDI, E 280 CDI, E 320 CDI;Diesel;2002-11-01;2008-12-01;;F43;
MERCEDES-BENZ;E-CLASS (W212);E 200 CDI / BlueTEC, E 220 CDI / BlueTEC, E 250 CDI / BlueTEC, E 350 CDI;Diesel;2009-01-01;;;F43;
MERCEDES-BENZ;GLA-CLASS (X156);GLA 200 CDI / d / 4-matic, GLA 220 CDI / d;Diesel;2013-12-01;;;F42;
MERCEDES-BENZ;GLC (X253);220 d 4-matic, 250 d 4-matic;Diesel;2015-06-01;2019-04-01;;F42;
MERCEDES-BENZ;M-CLASS (W163);ML 270 CDI, ML 400 CDI;Diesel;1999-12-01;2005-06-01;;F43;F10
MERCEDES-BENZ;M-CLASS (W164);ML 280 / 300 /320 / 350 CDI 4-matic;Diesel;2005-07-01;2011-12-01;;F43;
MERCEDES-BENZ;M-CLASS (W166);ML 250 CDI / BlueTEC 4-matic;Diesel;2011-06-01;2015-12-01;;F43;
MERCEDES-BENZ;SL (R231);63 AMG;Petrole;2012-01-01;;;F43;
MERCEDES-BENZ;SPRINTER 3,5-t Box (906);313 CDI, 314 CDI, 316 CDI;Diesel;2006-06-01;;;F43;FL1000
MERCEDES-BENZ;SPRINTER 4,6-t Box (906);413 CDI, 414 CDI;Diesel;2006-06-01;;;F43;FL1000
MERCEDES-BENZ;VITO / MIXTO Box (W639);109 / 111 / 115 CDI;Diesel;2003-09-01;;;F42;FL752
MERCEDES-BENZ;VITO / MIXTO Box (W639);110 / 113 / 116 / 122 CDI;Diesel;2010-09-01;;;F42;
MERCEDES-BENZ;VITO Box (638);108 CDI 2.2 , 108 D 2.3, 110 CDI 2.2, 110 D 2.3, 112 CDI 2.2;Diesel;1997-03-01;2003-07-01;;F42;FL752
